PV;Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
299;"Rooilijndecreet - Gewestelijke rooilijnen";13-12-2013;;"Peumans Jan";;03-01-2014;;PCO;;;03-01-2014;03-01-2014;03-01-2014;
296;"E40 Nevele - Bermbrug";12-12-2013;;"Franssen Cindy";;24-12-2013;;WOV;;;24-12-2013;24-12-2013;24-12-2013;
294;"Omleidingsweg N14 Zoersel - Stand van zaken";11-12-2013;;"Diependaele Matthias";;23-12-2013;;WA;;;23-12-2013;23-12-2013;23-12-2013;
292;"Gewest- en autosnelwegen - structureel onderhoud";11-12-2013;;"Yuksel Veli";;23-12-2013;;PCO;;;23-12-2013;23-12-2013;23-12-2013;
291;"Verkeerslichten gewestwegen - LED";11-12-2013;;"Yuksel Veli";;23-12-2013;;EVT;;;23-12-2013;23-12-2013;23-12-2013;
290;"Aanleg fietspaden - realisaties";11-12-2013;;"Yuksel Veli";;23-12-2013;;PCO;;;23-12-2013;23-12-2013;23-12-2013;
288;"Fietspaden N44a Maldegem - Onderhoud";11-12-2013;;"Taeldeman Valerie";;23-12-2013;;WOV;;;23-12-2013;23-12-2013;23-12-2013;
286;"E314 Heverlee - Wilsele - weefstroken";09-12-2013;;"Jans Lies";;20-12-2013;;WVB;;;20-12-2013;20-12-2013;20-12-2013;
286;"E314 Heverlee - Wilsele - weefstroken";20-12-2013;;"Jans Lies";;20-12-2013;;WVB;;;20-12-2013;20-12-2013;20-12-2013;
281;"Trajectcontrole - werklast parketten - Overleg";09-12-2013;;"Reekmans Peter";;20-12-2013;;EMT;;;20-12-2013;20-12-2013;20-12-2013;
275;"Omvorming N44 Maldegem - stand van zaken";06-12-2013;;"Taeldeman Valerie";;20-12-2013;;WOV;;;20-12-2013;20-12-2013;20-12-2013;
274;"Investeringsprogramma wegen - aanleg rotonde N9/Hillestraat Maldegem";06-12-2013;;"Taeldeman Valerie";;20-12-2013;;WOV;;;20-12-2013;20-12-2013;20-12-2013;
273;"Investeringsprogramma wegen - N70 Lochristi";06-12-2013;;"Taeldeman Valerie";;20-12-2013;;WOV;;;20-12-2013;20-12-2013;20-12-2013;
272;"Kruispunt R71 - N20 Hasselt - Herinrichting";05-12-2013;;"Jans Lies";;17-12-2013;;WL;;;17-12-2013;17-12-2013;17-12-2013;
269;"Voetgangers- en fietsersbrug Deinze - stand van zaken";04-12-2013;;"Franssen Cindy";;17-12-2013;;WOV;;;17-12-2013;17-12-2013;17-12-2013;
268;"Flora en fauna - schade door strooizout";04-12-2013;;"Vandaele Wilfried";;17-12-2013;;PCO;;;17-12-2013;17-12-2013;17-12-2013;
267;"Niet-aangelegd fietspad Generaal Lemanstraat Antwerpen - herbestemming middelen";04-12-2013;;"Vogels Mieke";;17-12-2013;;WA;;;17-12-2013;17-12-2013;17-12-2013;
264;"Overladen vrachtwagens - controles wegeninspectie";03-12-2013;;"Dillen Marijke";;13-12-2013;;PCO;;;13-12-2013;13-12-2013;13-12-2013;
263;"Wegbermen - respecteren minimumbreedte";03-12-2013;;"Lachaert Egbert";;13-12-2013;;PCO;;;13-12-2013;13-12-2013;13-12-2013;
261;"Doortocht kusttram Nieuwpoort-Bad - Verkeersveiligheid";03-12-2013;;"Godderis-T'Jonck Danielle";;13-12-2013;;WWV;;;13-12-2013;13-12-2013;13-12-2013;
259;"Aslastendecreet - Knelpunten voor transportsector";29-11-2013;;"Heeren Veerle";;13-12-2013;;PCO;;;13-12-2013;13-12-2013;13-12-2013;
258;"Ritsen in het verkeer - Sensibilisering";29-11-2013;;"Roegiers Jan";;13-12-2013;;PCO;;;13-12-2013;13-12-2013;13-12-2013;
257;"R4 John F. Kennedylaan Gent - Geluidsschermen";29-11-2013;;"Yuksel Veli";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
256;"NMBS-investeringsplan 2013-2025 - Afstemming";29-11-2013;;"Vereeck Lode";;13-12-2013;;WL;;;13-12-2013;13-12-2013;13-12-2013;
255;"Trajectcontrole - Werklast voor parketten - Overleg";29-11-2013;;"Roegiers Jan";;13-12-2013;;EMT;;;13-12-2013;13-12-2013;13-12-2013;
254;"Overladen vrachtwagens - Weigh-In-Motion systeem";29-11-2013;;"Smaers Griet";;13-12-2013;;PCO;;;13-12-2013;13-12-2013;13-12-2013;
251;"Investeringsprogramma wegen - Bundelbestek D411 Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
250;"Investeringsprogramma wegen - Kruispunt Kasteellaan Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
249;"Investerignsprogramma wegen - Studie N465a Oosterzele";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
248;"Investeringsprogramma wegen - N461 Knesselare";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
247;"Investeringsprogramma wegen - ""The Loop"" Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
246;"Investeringsprogramma wegen - Studie ring om Eeklo";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
245;"Investeringsprogramma wegen - Kruispunt Wondelgemse Meersen Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
244;"Investeringsprogramma wegen - Studie N456 Lembeke";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
243;"Investeringsprogramma wegen - Brug Handelsdok Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
242;"Investeringsprogamma wegen - Studie N455 Sint-Laureins";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
241;"Investeringsprogramma wegen - Ontsluiting UCO-site Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
240;"Investeringsprogramma wegen - N449 Wachtebeke";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
239;"Investeringsprogramma wegen - N448 Evergem";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
238;"Investeirngsprogramma wegen - Geluidswerende schermen R4 Evergem";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
237;"Investeringsprogramma wegen - Omlegging N437a Hansbeke";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
236;"Investeringsprogramma wegen - Kloosterstraat Knesselare";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
235;"Investeringsprogramma wegen - Carpoolparking R4 Destelbergen";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
234;"Investeringsprogramma wegen - Aanleg fietspad N70a Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
233;"Investeringsprogramma wegen - Studie tunnel R4 Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
232;"Investeringprogramma wegen - Structureel onderhoud E17/E40/R4/E34/R2 Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
231;"Investeringsprogramma wegen - Carpoolparking E40 Nevele";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
230;"Investeringsprogramma wegen - E40 Aalter-St. Denijs";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
229;"Investeringsprogramma wegen - Studie geluidswerende schermen E40 Aalter";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
228;"Investeringsprogramma wegen - Toegangscomplex E40 Aalter";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
227;"Investeringsprogramma wegen - Wegmarkeringen Gentbrugge";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
226;"Investeringsprogramma wegen - D413 Eeklo";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
224;"Kruispunt N1-N12 Antwerpen - Verkeerslicht fietsers";28-11-2013;;"Vermeiren Goedele";;13-12-2013;;WA;;;13-12-2013;13-12-2013;13-12-2013;
223;"N364-N319 Kaaskerke-Alveringem - Verkeersveiligheid";28-11-2013;;"Godderis-T'Jonck Danielle";;13-12-2013;;WWV;;;13-12-2013;13-12-2013;13-12-2013;
222;"N355 Ramskapelle-Pervijze - Verkeersveiligheid";28-11-2013;;"Godderis-T'Jonck Danielle";;13-12-2013;;WWV;;;13-12-2013;13-12-2013;13-12-2013;
218;"N437 - Zingem - Nazareth - Fietspaden (2)";27-11-2013;;"Franssen Cindy";;10-12-2013;;WOV;;;10-12-2013;10-12-2013;10-12-2013;
216;"N35/N43 Deinze - stand van zaken";27-11-2013;;"Diependaele Matthias";;10-12-2013;;WOV;;;10-12-2013;10-12-2013;10-12-2013;
210;"PPS-projecten missing links - Via-Invest";22-11-2013;;"Vereeck Lode";;06-12-2013;;PCO;;;06-12-2013;06-12-2013;06-12-2013;
212;"Trajectcontrole E40 - ongevallen";22-11-2013;;"Lachaert Egbert";;06-12-2013;;WOV;;;06-12-2013;06-12-2013;06-12-2013;
207;"Openbare werken - grondverwervingstermijnen";21-11-2013;;"Franssen Cindy";;03-12-2013;;PCO;;;03-12-2013;03-12-2013;03-12-2013;
204;"Autosnelwegparkings - afvalophaling";21-11-2013;;"D'Hulster Steve";;04-12-2013;;PCO;;;04-12-2013;04-12-2013;04-12-2013;
209;"Kruispunt Guldensporenlaan / R4 Merelbeke - Doorstroming";21-11-2013;;"Lachaert Egbert";;04-12-2013;;WOV;;;04-12-2013;04-12-2013;04-12-2013;
208;"E34 Moerbeke - fietsoversteek - geluidsmeting Zandberg";21-11-2013;;"Lachaert Egbert";;04-12-2013;;WOV;;;04-12-2013;04-12-2013;04-12-2013;
205;"Integraal fietsinvesteringsprogramma - stand van zaken";21-11-2013;;"D'Hulster Steve";;03-12-2013;;PCO;;;03-12-2013;03-12-2013;03-12-2013;
201;"Kruispunt N41/Kettermuit St.-Niklaas - Heraanleg";20-11-2013;;"De Meyer Jos";;03-12-2013;;WOV;;;03-12-2013;03-12-2013;03-12-2013;
198;"Kennedylaan Gent - Verkeersveiligheid";20-11-2013;;"Yuksel Veli";;03-12-2013;;WOV;;;03-12-2013;03-12-2013;03-12-2013;
162;"De Lijn - Rustpauze chauffeurs";06-11-2013;;"Roegiers Jan";;27-11-2013;;EVT;;;27-11-2013;27-11-2013;27-11-2013;
190;"Kruispunt Elisasbethlaan / Torhoutsesteenweg Oostende - Ondertunneling (2)";14-11-2013;;"Caron Bart";;14-11-2013;;WWV;;;28-11-2013;28-11-2013;28-11-2013;
185;"Vrije bus- en trambanen - stand van zaken";14-11-2013;;"D'Hulster Steve";;26-11-2013;;EVT;;;26-11-2013;26-11-2013;26-11-2013;
184;"Elektrische voertuigen - Publieke laadpunten";14-11-2013;;"Van Overmeire Karim";;26-11-2013;;EVT;;;26-11-2013;26-11-2013;26-11-2013;
180;"Dynamische verkeerssignalisatie - stand van zaken";13-11-2013;;"Dillen Marijke";;26-11-2013;;EMT;;;26-11-2013;26-11-2013;26-11-2013;
183;"Verapazbrug Gent - stand van zaken";13-11-2013;;"Roegiers Jan";;26-11-2013;;WOV;;;26-11-2013;26-11-2013;26-11-2013;
181;"Flitspalen - evaluatie";13-11-2013;;"Dillen Marijke";;26-11-2013;;EMT;;;26-11-2013;26-11-2013;26-11-2013;
178;"Bovenlokaal functioneel fietsroutennetwerk - provincie antwerpen";12-11-2013;;"Reekmans Peter";;22-11-2013;;WA;;;22-11-2013;22-11-2013;22-11-2013;
177;"N34 Doortocht Heist - stand van zaken";12-11-2013;;"Verfaillie Jan";;25-11-2013;;WWV;;;25-11-2013;25-11-2013;25-11-2013;
176;"Kruispunt N43 - Spijkerlaan/Pontstraat Waregem - Heraanleg";08-11-2013;;"Hostekint Michèle";;22-11-2013;;WWV;;;22-11-2013;22-11-2013;22-11-2013;
174;"Mobiele flitscamera's bij wegenwerken - stand van zaken";08-11-2013;;"D'Hulster Steve";;22-11-2013;;EMT;;;22-11-2013;22-11-2013;22-11-2013;
173;"N49 - Antwerpen-Kust - Omvorming";08-11-2013;;"Reekmans Peter";;25-11-2013;;WOV;;;25-11-2013;25-11-2013;25-11-2013;
172;"I-BUS - project - stand van zaken";08-11-2013;;"Homans Liesbeth";;22-11-2013;;EVT;;;22-11-2013;22-11-2013;22-11-2013;
170;"Onderhoud gewestwegen - overeenkomst met de gemeenten";07-11-2013;;"Lachaert Egbert";;21-11-2013;;PCO;;;21-11-2013;21-11-2013;21-11-2013;
169;"Aanleg zebrapaden - inspraak lokaal bestuur - N415";07-11-2013;;"Lachaert Egbert";;21-11-2013;;WOV;;;21-11-2013;21-11-2013;21-11-2013;
167;"Investeringsprogramma wegen - doortocht N35 Diksmuide";07-11-2013;;"Poleyn Sabine";;21-11-2013;;WWV;;;21-11-2013;21-11-2013;21-11-2013;
166;"N407 - Kapellendries Wetteren - verkeersveiligheid";06-11-2013;;"Van Malderen Bart";;20-11-2013;;WOV;;;20-11-2013;20-11-2013;20-11-2013;
165;"N435 - Ouwegem - Zingem - herinrichting";06-11-2013;;"Franssen Cindy";;20-11-2013;;WOV;;;20-11-2013;20-11-2013;20-11-2013;
164;"N425 Maarkedal - heraanleg";06-11-2013;;"Franssen Cindy";;20-11-2013;;WOV;;;20-11-2013;20-11-2013;20-11-2013;
163;"Fly-over- N19 Geel - stand van zaken";06-11-2013;;"Reekmans Peter";;20-11-2013;;WA;;;20-11-2013;20-11-2013;20-11-2013;
154;"Bufferbekken E40 - Leuven - stand van zaken";06-11-2013;;"Eerlingen Tine";;20-11-2013;;WVB;;;20-11-2013;20-11-2013;20-11-2013;
153;"Strategienota Verenigd Koninkrijk - optimaliseren infrastructuur";06-11-2013;;"Van Overmeire Karim";;20-11-2013;;WWV;;;20-11-2013;20-11-2013;20-11-2013;
152;"Sluisweg Merelbeke - wegverlichting";06-11-2013;;"Stevens Helga";;20-11-2013;;WOV;;;20-11-2013;20-11-2013;20-11-2013;
161;"Carpoolparkings West-Vlaanderen ";06-11-2013;;"Vandaele Wilfried";;20-11-2013;;WWV;;;20-11-2013;20-11-2013;20-11-2013;
159;"Ondertunnekling Boudewijnlaan Aalst - Kostprijs en timing";06-11-2013;;"Van Overmeire Karim";;20-11-2013;;WOV;;;20-11-2013;20-11-2013;20-11-2013;
149;"Afgedankte verkeersborden - Verwerking";04-11-2013;;"Dillen Marijke";;18-11-2013;;PCO;;;18-11-2013;18-11-2013;18-11-2013;
141;"Haven Zeebrugge - Spoorontsluiting";31-10-2013;;"Reekmans Peter";;14-11-2013;;WWV;;;14-11-2013;14-11-2013;14-11-2013;
276;"Gebruik van camera's voor allerlei doeleinden";18-10-2013;;"Keulen Marino";;04-11-2013;;EMT;;;04-11-2013;04-11-2013;04-11-2013;
317;"Uitrol van het ANPR-netwerk";23-10-2013;;"Fournier Martine";;04-11-2013;;EMT;;;04-11-2013;04-11-2013;04-11-2013;
355;"Optimalisatie van het noordelijk deel van de Ring om Brussel";28-10-2013;;"De Knop Irina";;04-11-2013;;WVB;;;04-11-2013;04-11-2013;04-11-2013;
28;"Herinrichting van het noordelijke deel van de ring rond Brussel";29-10-2013;;"Sanctorum Hermes";;04-11-2013;;WVB;;;04-11-2013;04-11-2013;04-11-2013;
27;"Brusselse Ring";28-10-2013;;"Van Hauthem Joris";;04-11-2013;;WVB;;04-11-2013;04-11-2013;04-11-2013;04-11-2013;
140;"Zeebrugge - strategisch Haveninfrstructuurproject SHIP";30-10-2013;;"Van Volcem Mercedes";;13-11-2013;;WWV;;;13-11-2013;13-11-2013;13-11-2013;
137;"N2 en N26 - onderhoud";30-10-2013;;"Van Malderen Bart";;13-11-2013;;WVB;;;13-11-2013;13-11-2013;13-11-2013;
134;"Verkeersborden - afstemming";29-10-2013;;"Wienen Wim";;12-11-2013;;PCO;;;12-11-2013;12-11-2013;12-11-2013;
130;"Verkeer Asse - Herkomst-bestemmingsonderzoek";29-10-2013;;"Segers Willy";;12-11-2013;;WVB;;;12-11-2013;12-11-2013;12-11-2013;
125;"Zwaar vervoer - ongevallen door afgevallen lading";28-10-2013;;"D'Hulster Steve";;08-11-2013;;PCO;;;08-11-2013;08-11-2013;08-11-2013;
124;"Masterplan 2020 Antwerpen - verbindingsweg N10-R11";28-10-2013;;"D'Hulster Steve";;08-11-2013;;WA;;;08-11-2013;08-11-2013;08-11-2013;
118;"Zwerfvuil langs gewestwegen - Handhaving";25-10-2013;;"Dillen Marijke";;06-11-2013;;PCO;;;06-11-2013;06-11-2013;06-11-2013;
114;"Fietsbrug Mol - Postel - stand van zaken";24-10-2013;;"Deckx Kathleen";;06-11-2013;;WA;;;06-11-2013;06-11-2013;06-11-2013;
112;"Openbare werken - inbreng privÃ©-kapitaal";23-10-2013;;"Franssen Cindy";;06-11-2013;;PCO;;;06-11-2013;06-11-2013;06-11-2013;
111;"Fietspad N10 Koningshooikt - procedure Raad van State";23-10-2013;;"Hendrickx Marc";;06-11-2013;;WA;;;06-11-2013;06-11-2013;06-11-2013;
110;"N74 Zonhoven - fietspad";23-10-2013;;"Chokri Mahassine ";;06-11-2013;;WL;;;06-11-2013;06-11-2013;06-11-2013;
108;"Kammenkouterstraat Moorsel Aalst - verkeersveiligheid";23-10-2013;;"Van der Borght Vera";;06-11-2013;;WOV;;;06-11-2013;06-11-2013;06-11-2013;
107;"Waaslandtunnel Antwerpen - ADR-transport";23-10-2013;;"Wienen Wim";;06-11-2013;;EVT;;;06-11-2013;06-11-2013;06-11-2013;
104;"N466 Drongen - oversteekplaatsen";22-10-2013;;"Yuksel Veli";;04-11-2013;;WOV;;;04-11-2013;04-11-2013;04-11-2013;
102;"Verkeersveiligheid - Campagnes";21-10-2013;;"Keulen Marino";;31-10-2013;;PCO;;;31-10-2013;31-10-2013;31-10-2013;
93;"Trajectcontrole - Naleving privacywetgeving";18-10-2013;;"Tommelein Bart";;31-10-2013;;EMT;;;31-10-2013;31-10-2013;31-10-2013;
89;"Fietspad N10 Koningshooikt - Heraanleg";18-10-2013;;"Vanderpoorten Marleen";;31-10-2013;;WA;;;31-10-2013;31-10-2013;31-10-2013;
90;"Spartacusproject - Wegenwerken Diepenbeek";18-10-2013;;"Vereeck Lode";;31-10-2013;;WL;;;31-10-2013;31-10-2013;31-10-2013;
88;"Brusselse Ring - Mobiliteitsimpact commerciÃ«le en sportcomplexen";18-10-2013;;"De Wachter Else";;31-10-2013;;WVB;;;31-10-2013;31-10-2013;31-10-2013;
87;"Flitspalen - Vandalisme";17-10-2013;;"D'Hulster Steve";;30-10-2013;;EMT;;;30-10-2013;30-10-2013;31-10-2013;
85;"Fietspad Neerhoevenlaan - Groenhof Mortsel - Stand van zaken";17-10-2013;;"D'Hulster Steve";;30-10-2013;;WA;;;30-10-2013;30-10-2013;31-10-2013;
